skills,interests,education,personality,recommended_career,Recommendations,jobs
"python,ML","AI,data",B.Tech,analytical,data scientist,"intro to machine learning (Coursera), python for data science (edX)","google, amazon, startup in AI"
"drawing,photoshop","design,art",BFA,creative,graphic designer,graphic design masterclass (Udemy),"desihn studios, freelance"
"communication,writing",journalism,BA English,expressive,journlist,"english for journlisum (Alison), journlisum,the future and you (Coursera)","journlist in news channels, social media"
"marketing,leadership",business,MBA,strategic,marketing manager,digital marketing specialization (Coursera),"corporate marketing departments, agencies"
"patience,teaching",education,B.Ed,empathetic,teacher,modern teaching techniques (Coursera),"schools, online academies"
"Psychology, Counseling",Mental Health,BA / MA,Empathetic,Psychologist,"Learn counseling techniques, certifications","Clinics, NGOs, Schools"
"AutoCAD, 3D Modeling","Architecture, Design",B.Arch,Creative,Architect,"Learn sustainable design, BIM software"," Architecture Firms, Urban Planning"
"Photoshop, Illustrator, Creativity","Art, UI",BFA,Creative,UI/UX Designer,"Build portfolio, learn Figma & Adobe Suite","Design Studios, Freelance"
"Excel, Financial Analysis, Accounting","Finance, Investment",B.Com / BBA,Analytical,Financial Analyst,"Learn Excel, SQL, Financial Modeling","Investment Firms, Banks"
"Legal Research, Writing",Law,LLB,Logical,lawyer,"Improve legal research, litigation skills"," Law Firms, NGOs"
"Networking, Security, Linux",Cybersecurity,B.Tech,Detail-Oriented,Cybersecurity Analyst,"Learn Ethical Hacking, Security Protocols"," Tech Companies, Banks"
"Robotics, AI, Python","Robotics, Tech",B.Tech,Analytical,Robotics Engineer,"Learn ROS, Machine Learning, Python"," Robotics Labs, Tech Startups"
"Communication, Languages","Travel, Hospitality",BA / Diploma,Friendly,Tour Guide,"Learn multiple languages, storytelling"," Travel Agencies, Cruise Ships"
"Biology, Lab Work, Research",Life Sciences,B.Sc Biology,Curious,Biotechnologist,"Learn Bioinformatics, Lab Techniques; Courses: 'Intro to Biotechnology'","Pharma, Research Labs"
"Chemistry, Lab Analysis, Observation","Experiments, Science",B.Sc Chemistry,Detail-Oriented,Chemist,"Learn analytical chemistry, spectroscopy","Labs, Chemical Industries"
"Physics, Math, Coding","Scientific Research, Space",B.Sc Physics,Logical,Research Scientist,"Learn Data Analysis, MATLAB, Research Skills","ISRO, Research Institutes"
"Networking, Hardware, Troubleshooting","Computers, Technology",B.Sc Computer Science,Logical,IT Support Engineer,"Learn Networking, Windows/Linux Systems","IT Companies, Banks"
"Biology, Research, Healthcare",Medical Science,B.Sc Microbiology,Curious,Microbiologist,"Learn Microscopy, Genetics","Labs, Research Institutes, Hospitals"
"Environmental Science, Data Analysis","Ecology, Sustainability",B.Sc Environmental Science,Ethical,Environmental Analyst,"Learn GIS, Sustainability Analysis","NGOs, Government Projects"
"Psychology, Communication, Empathy",Mental Health,B.Sc Psychology,Empathetic,Counselor,Learn Counseling Techniques,"Schools, NGOs, Clinics"
"Math, Statistics, Coding",Problem Solving,B.Sc Mathematics,Analytical,Statistician,"Learn R, Python, Probability","Government, Research, Data Firms"
"Zoology, Research, Wildlife","Nature, Conservation",B.Sc Zoology,Observant,Wildlife Biologist,"Learn Ecology, Field Research","National Parks, NGOs"
"Nutrition, Health, Fitness","Wellness, Medicine",B.Sc Nutrition,Empathetic,Nutritionist,"Learn Diet Planning, Clinical Nutrition","Hospitals, Fitness Centers"
"Physics, Data, Tech",Electronics,B.Sc Physics,Logical,Data Engineer,"Learn  SQL,Python, Cloud Tolols","Tech Companies, Finance, Startups"
"Biology, Healthcare, Lab Work",Medical Research,B.Sc Biochemistry,Analytical,Biomedical Scientist,"Learn Clinical Research, Lab Equipment","Hospitals, Pharma"
"Communication, Public Health",Healthcare,B.Sc Nursing,Responsible,Healthcare Manager,"Learn Administration, Health Systems","Hospitals, Clinics"
"Statistics, Excel, Machine Learning","Research, Data",B.Sc Statistics,analytical,Data Scientist,"Learn Python, ML, AI","Google, IBM, Startups"
"Environmental Science, Climate Research","Nature, Analysis",B.Sc,Ethical,Climate Change Analyst,"Learn GIS, Data Modeling","NGOs, UN, Environment Firms"
"Physics, Electronics, Circuits","Engineering, Devices",B.Sc Electronics,Analytical,Embedded Systems Engineer,"Learn C, Microcontrollers",Hardware Companies
"Math, AI, Logic",Problem Solving,B.Sc Computer Science,Logical,Machine Learning Engineer,"Learn Python, TensorFlow, AI","Tech Startups, MNCs"
"Biology, Communication","Health, Education",B.Sc Biology,empathetic,Science Communicator,"Learn Public Speaking, Research Writing","Media, NGOs, Science Channels"
"Chemistry, Biology","Forensics, Investigation",B.Sc Forensic Science,Inquisitive,Forensic Analys,"Learn Evidence Analysis, Crime Scene Investigation","Police Labs, Research"
"Psychology, Sociology, Writing",Human Behavior,B.Sc Psychology,Observant,Human Resource Specialist,"Learn HR Analytics, Communication Skills","Corporates, Startups"
"Geography, GIS, Surveying","Maps, Earth Science",B.Sc Geography,Detail-Oriented,GIS Analyst,"Learn QGIS, Spatial Data Analysis","Survey Firms, Govt"
"Computer Science, Web Dev","Coding, Design",B.Sc Computer Science,Creative,Web Developer,"Learn HTML, CSS, JS, Reac","IT Firms, Freelance"
"Statistics, Finance, Excel","Analytics, Numbers",B.Sc Statistics,Analytical,Business Analyst,"Leran power BI, SQL Communication","Consulting, Startups"
"Chemistry, Environment",Sustainability,B.Sc Chemistry,Responsible,Environmental Chemist,"Learn Environmental Testing, Safety Protocols","Govt. Labs, NGOs"
"Psychology, Communication","People, Counseling",B.Sc Psychology,Empathetic,Life Coach,"Learn NLP, Positive Psychology","Coaching, HR, Education"
"Microbiology, Research, Medicine",Lab Research,B.Sc Microbiology,Detail-Oriented,Clinical Research Associate,"Learn Clinical Trials, Pharma Regulations","Pharma, Hospitals"
"Marketing, SEO, Communication","Branding, Social Media",BBA,Strategic,Digital Marketing Manager,"Learn Google Ads, SEO, Analytics","Startups, Agencies, E-commerce"
"Finance, Excel, Analysis","Investments, Banking",BBA,Analytical,Financial Analyst,"Learn Financial Modeling, Excel, Power BI","Banks, Consulting Firms"
"Leadership, Strategy, Communication","Business, Management",BBA,Confident,Business Development Executive,"Learn CRM tools, Negotiation;","Corporates, Startups"
"Sales, Networking, Communication","Marketing, Retail",BBA,Outgoing,Sales Manager,"Learn CRM, Negotiation Skills","FMCG, Real Estate, IT Sales"
"Creativity, Writing, Communication","Media, Branding",BBA,Creative,Content Marketing Specialist,"Learn Copywriting, SEO, Social Media","Agencies, Startups"
